id	nume	nume_act	an_inf	an_disp	hram	stare	id_bis	mahala	nr_case	nr_b	nr_f	nr_tot	tip	info	nr_preoti	nr_diaconi
37	Ceauș Radu	Ceauș Radu	1755	lipsă	Adormirea Precistii	existentă	B086	Mahalaua Ciauș Radului	113	211	234	445	zid	îndestulată cu odăjdii și cărți	4	0
38	Crețulescu	Krețulescu	1722	lipsă	Nașterea Precistii	existentă	B046	Mahalaua Mănăstirea Crețulescu	79	304	266	570	zid	toate deplin	3	0
39	Sfîntul Gheorghe Nou	Sfîntul Gheorghe Nou	1705	lipsă	Sfîntul Mare Mucenic Gheorghe	existentă	B043	Mahalaua Sfîntul Gheorghie cel Nou	208	309	204	513	zid	toate deplin	1	0
40	Popa Cosma	Sfîntul Nicolae-Tabaci	1710	lipsă	Sfîntul Ierarh Nicolae	existentă	B021	Mahalaua Popa Cosmii	112	230	244	474	zid	toate deplin	4	0
41	Ceauș David	Icoanei	1784	lipsă	Adormirea Precistii	existentă	B041	Mahalaua Ceauș David	91	240	235	475	zid	toate deplin	2	0
42	Popa Pătru	Popa Chițu	1791	lipsă	Adormirea Precistii	existentă	B040	Mahalaua Popa Pătru	71	165	143	308	zid	toate deplin	3	0
43	Biserica Albă	Albă	1715	lipsă	Sfîntul Ierarh Nicolae	existentă	B020	Mahalaua Popii Dărăvaș	142	457	473	930	zid	toate deplin	3	0
44	Batiște	Batiște	1764	lipsă	Adormirea Precistii	existentă	B042	Mahalaua Batiștii	87	206	154	360	zid	toate deplin	3	0
45	Oțetari	Oțetari	1757	lipsă	Sfinții Voievozi	existentă	B034	Mahalaua Oțetarului	73	136	159	295	zid	toate deplin	3	0
46	Popa Heru	Cu Sibile	1728	lipsă	Intrarea în Biserică	existentă	B031	Mahalaua Popa Heru	71	263	148	411	zid	toate deplin	3	0
47	Colțea	Colțea	1698	lipsă	Sfinții Trei Ierarhi	existentă	B025	Mahalaua Colții	81	152	165	317	zid	toate deplin	5	0
48	Doamnei	Doamnei	1683	lipsă	Intrarea în Biserică	existentă	B016	Mahalaua Bisericii Doamnii	40	12	26	38	zid	toate deplin	3	0
49	Șelari	Șelari	1676	lipsă	Sfîntul Ierarh Nicolae	existentă	B015	Mahalaua Sfîntul Nicolae din Șelari	106	334	144	478	zid	toate deplin	4	0
50	Fîntîna Boului	Popa Tatu	1774	lipsă	Sfîntul Ierarh Spiridon	existentă	B009	Mahalaua Fîntînii Boului	123	252	230	482	zid	toate deplin	3	0
51	Dintr-o zi	Dintr-o zi	1702	lipsă	Sfîntul Ierarh Nicolae	existentă	B018	Mahalaua Bisericii Dintr-o zi	8	20	12	32	zid	toate deplin	2	0
52	Sfîntul Dumitru	Sfîntul Dumitru	1655	lipsă	Sfîntul Mare Mucenic Dimitrie	existentă	B023	Mahalaua Sfîntul Dimitrie	56	229	164	393	zid	toate deplin	2	0
53	Curtea cea Veche	Curtea Veche	1559	lipsă	Bunavestire	existentă	B089	nu este mahala	120	250	300	550	zid	toate deplin	2	0
